ad_archive_id,ad_text,lda_topic_keywords,bert_topic_keywords,llm_theme_theme,llm_theme_summ,lda_keywords_llm_truth,bert_keywords_llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth
566006045955674,"The quality of water in Winter Springs matters — the reliability of our wastewater infrastructure and the potential for unsafe drinking water is an urgent issue for many families in the area. 

City officials have said that it may be until 2030 that we see major wastewater infrastructure issues resolved — but our neighbors can’t afford to live with these concerns for that long.

Sarah Henry is running for state representative in Florida’s House District 38, and will lead the way for a clean water future for Winter Springs. Sarah will fight for strong, sustainable investment in clean water treatment for Winter Springs, collaborate with local leaders on solutions, and make sure everyone in our district is aware of resources and notices that are critical to public health and safety.

Early voting is open and ends Sunday, November 3rd. You can vote at any of the eight early voting locations in Seminole County - they are open from 7am to 7pm. Election Day is Tuesday, November 5th. Make a plan to vote for a clean water future for Winter Springs today.","vote, election, district, candidate, voting","water, river, rivers, drains, storm, stormwater, wastewater, clean water, storm drains, lake","**""Clean water advocacy""**",Clean water advocacy,Yes,No,Yes,Yes,FALSE,FALSE,TRUE,FALSE
2782610715233260,"""What's a frunk?"" ""How do I know when and where to charge?"" ⚡

Join us on August 29 from 11:30-12:30 ET for our next #CleanEnergyGeneration webinar. During the webinar, a panel of electric vehicle owners and drivers will answer all your questions - no matter how big or small - about driving an EV.

This is your chance to hear advice from real people who have gone electric, as well as stories and insights from their own experiences with EVs.

Can't make the date? Register anyway and we'll send you the recording plus a few follow-up resources. RSVP here: bit.ly/CEGWebinar8-29","energy, electric, ev, arizona, vehicle","ev, evs, electric, ev tax, link email, millions visit, charging, driving electric, annual tax, experience benefits","**""Clean energy advocacy""**",Clean energy boom,Yes,No,Yes,No,TRUE,FALSE,TRUE,TRUE
462701613429115,"Big tech companies across the United States are struggling to find enough clean energy to power all the data centers they plan to build. Now, some firms are betting on a novel solution: harvesting the heat deep beneath the Earth’s surface to create emissions-free electricity, using drilling techniques from the oil and gas fracking boom.","energy, clean, power, support, job",,"**""Anti-fracking activism""**",Anti-Harris energy attack,Yes,Yes,No,No,FALSE,FALSE,FALSE,FALSE
2473112876421092,"I am officially seeking re-election to the Ogden City Council. 🌆 My vision for Ogden is one of continued progress and collaborative problem-solving. We have made significant strides in areas such as economic opportunity 💰, strategic development 🏘️, and ensuring good governance 🏛️. However, I believe that our city’s future relies on our ability to work together on crucial issues like sustainable growth 🌿, quality housing 🏠, and fostering a thriving workforce 💼. I am committed to maintaining open dialogue and building upon our existing partnerships to create an Ogden where everyone has the opportunity to succeed. Please join me in this endeavor. Learn more about my campaign and vision at https://marciawhite.com/ #OgdenCityCouncil #CommunityCollaboration #MarciaWhite","sustainable, initiative, committed, community, resource","city council, council, city, mayor, ward, alderman, berwyn, public safety, mclean, mclean county","**""Local civic engagement""**",Pro-childcare candidates,Yes,No,No,No,FALSE,TRUE,TRUE,FALSE
1245124733190828,"**🌟 Meet Your 2024 Candidates! 🌟**

Discover the leaders committed to our values. Visit www.windhamgop.com/meet-the-candidates to learn more. 💪🇺🇸

Get involved and help make 2024 a year of success! 🚀 #WindhamGOP #2024Candidates #GetInvolved","sustainable, initiative, committed, community, resource",,"**""Pro-climate candidate""**",Pro-climate candidate,No,No,No,No,FALSE,FALSE,TRUE,FALSE
1966664600423717,The coal-rich state wants to land the first new U.S. smelter in 45 years. But the deal won’t happen unless Kentucky can furnish lots of clean energy.,"one, people, thing, get, u","michigan, michiganders, dte, whitmer, michigan clean, ann arbor, lansing, energy michigan, jobs michigan, arbor","**""Pro-infrastructure investment""**",Pro-infrastructure investment,No,Yes,No,No,TRUE,FALSE,TRUE,FALSE
457601517176463,"LOTS Group seeks European partners within the manufacturing or industrial space, committed to transitioning to sustainable logistics.

If you're a company with a strong sustainability agenda and believe in the power of collaboration and resource sharing, we want to work with you.

Our holistic approach optimizes road, rail, and short sea shipping to reduce environmental impact and cost. Leveraging Scania's network, we can drive meaningful change and set new standards for sustainable logistics in Europe.","sustainable, initiative, committed, community, resource",,"**""Green building advocacy""**",Green building advocacy,Yes,Yes,No,No,TRUE,FALSE,TRUE,TRUE
1064939622465703,"From a spark of ambition to a thriving enterprise, it all starts with the right support. 

Since 1986, our lending program has leveraged $303 million in loan dollars to empower local businesses to grow, hire, and lead. 

Every dollar invested is a step toward stronger communities, resilient economies, and a future full of possibility. 

Visit wcif.org/loans/loans-impact/ to learn more about our lending program!","local, business, community, small, rural",,"**""Pro-infrastructure investment""**",Solar energy advocacy,Yes,Yes,No,No,FALSE,FALSE,TRUE,TRUE
532151339228670,"For only the 2nd time in its history, a top science journal endorses someone (Harris) for president… because facts matter. Please share. Please Vote!","tell, say, ballot, add, name","kamala, kamala harris, harris, fracking, fighter, abolishing, ban fracking, vote harris, patsy, liberal","**""Save the Arctic""**",Pro-nuclear advocacy,Yes,No,No,No,FALSE,FALSE,FALSE,FALSE
1069454341186311,"9,100 jobs. 145 projects. Enough homegrown energy to power Maine. Sen. Collins: Save our jobs. Save clean energy tax credits.","energy, clean, power, support, job",,"**""Pro-clean energy jobs""**",Clean energy boom,Yes,No,Yes,Yes,FALSE,FALSE,FALSE,FALSE
1281013850282353,"Upgrade your Teaching Toolbox! Uncover free interactive tools with standout resources for teaching fiscal policy. Transform your lessons into engaging, unforgettable experiences that demystify essential concepts for students. 

Dive into these invaluable resources now!","free, call, tool, generation, receive","students, teaching, teaching climate, climate education, classroom, climate project, teach, educators, lesson, prep","**""Climate education advocacy""**",Climate education advocacy,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
1089533039365047,"Solar projects do more than produce clean energy. They support local schools, communities and more. How cool is that? With solar energy, communities are investing in a healthy and sustainable future!","local, business, community, small, rural","solar projects, supporting solar, built solar, project today, coalfield, fight deliver, investment local, appalachian, just win, win fight","**""Solar energy advocacy""**",Solar energy advocacy,No,No,Yes,Yes,TRUE,FALSE,TRUE,FALSE
937897814423469,Join us to build a Bright Climate Future.,"future, sustainable, together, let, build",,"**""Clean energy advocacy""**",Clean energy boom,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,TRUE
1145606696557748,"🚨 New Release: “Ear Today, Here Tomorrow” Shirt 🚨

I think it’s obvious now more than ever that the political situation is chaos. Despite not having to run, Trump is stepping up because he loves America. We need change, and we need it now.

💬 Key Points:

 • Proceeds from this shirt will directly support Republican campaigns.
 • Show your support and make a statement.

🛒 Get yours now and join the movement for change! Let’s stand together and make a difference.

#Trump2024 #RepublicanOutlet #PoliticalChange #SupportOurCampaigns #EarTodayHereTomorrow","trump, president, administration, fight, back","shirt, wear, trump 2024, triggering, https site, tee, patriots, theredfirst, theredfirst com, speak stand","**""Pro-recycling advocacy""**",Agriculture policy updates,No,Yes,No,No,TRUE,FALSE,TRUE,TRUE
1217621699278599,Clean energy is driving significant investment and job creation in Nebraska’s heartland.,"energy, clean, power, support, job",,"**""Clean energy boom""**",Clean energy boom,Yes,No,Yes,Yes,TRUE,FALSE,FALSE,TRUE
1036171044041052,"Accelerating the future of energy, together","future, sustainable, together, let, build","crushers, manufacturing, far surpassing, electric 2025, solutions optimize, clean power, optimize energy, screens, clean energy, energy sector","**""Clean energy advocacy""**",Solar energy advocacy,No,No,No,No,FALSE,FALSE,FALSE,FALSE
1995417607953372,"Profs and Pints Napa presents: “Hunker in Bunkers, Escape to Space,” on the history and status of Americans’ responses to existential threats, with Emily Ray, associate professor of political science at Sonoma State University and co-author of Prepared: Doomsday Prepping in the United States.

[6 pm September 22nd at Napa Yard in Napa, California.]

Back in the middle of the 20th century, when we first became a nuclear world, the federal government encouraged American citizens to respond to threats of atomic annihilation by taking up doomsday preparation and bunker acquisition. 

Today most regard doomsday prepping as a fringe activity, albeit one gaining in popularity. But Professor Emily Ray of Sonoma State University argues that doomsday preparation remains foundational to U.S. politics and culture and is a key driver of the new space race. 

Gain insight into how much our lives, politics and culture are shaped by existential threats and survivalist fantasies by coming to Napa Yard, the new Napa Valley home of events offered by Profs and Pints, a social enterprise that democratizes access to higher learning.

Professor Ray will discuss the history of doomsday prepping in the US, from calls to grow war gardens to federal recommendations for surviving atomic bombs to today’s quest to find ways to inhabit other planets. She’ll discuss how figures like Jeff Bezos and Elon Musk have plans to colonize Mars partly to save humanity from worsening conditions on Earth, and how investment in the new space race is tied to climate change and political instability.

A scholar of environmental political theory and politics focused on the intersections of technology, outer-space policy, climate change, and social theory, Dr. Ray joined Prepared co-author Robert Kirsch of Arizona State University in developing the novel theory of “bunkerization” to explain our responses to collective existential threats. That theory and her upcoming talk deal with a profound question: How do we hope to address collective problems together when the solutions offered are focused on individual needs? 

Her talk might leave you rethinking how you prepare for the worst. (Tickets available only online. Advance tickets: $13.50 plus processing fees. Doors: $17, or $15 with a student ID. Doors open at 5:30 and the talk begins at 6:30.)","climate, change, action, crisis, weather",,"**""Pro-nuclear advocacy""**",Pro-infrastructure investment,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
560016042948132,"""Introducing a library of 70+ free resources on how wood can help meet tomorrow’s sustainability goals today.""","future, sustainable, together, let, build",,"**""Green building advocacy""**",Green building advocacy,No,Yes,Yes,Yes,FALSE,TRUE,TRUE,TRUE
1058101212665940,Learn how we're working together for a brighter future in Ann Arbor.,"future, sustainable, together, let, build","michigan, michiganders, dte, whitmer, michigan clean, ann arbor, lansing, energy michigan, jobs michigan, arbor","**""Clean energy advocacy""**",Pro-solar advocacy,No,No,No,No,FALSE,TRUE,TRUE,TRUE
531384099531451,"Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.,Vote YES on Local Public Utilities at the very bottom of your ballot!

Since last year Ron DeSantis has been in control of Gainesville’s utilities. They’re risking our access to clean water, hurting our local small businesses, and raising rates on solar ratepayers.

It’s time for ratepayers to be back in control. Vote yes to kick DeSantis out of Gainesville. Vote Yes for Local Public Utilities.","local, business, community, small, rural",,"**""Clean water advocacy""**",Donziger vs. Big Oil,Yes,Yes,Yes,Yes,FALSE,TRUE,TRUE,TRUE
1123564512521960,"☀️ You’re invited! 

Join us and Solar United Neighbors on October 14 from 5-7 p.m. for a free evening of solar inspiration as we toast the success of the Lakes & Prairies Solar Co-op.  

Enjoy a grill-out, hear stories from neighbors who went solar, get tips for powering your own home, and take an insider tour of our brand-new solar installation with a local installer.  

Whether you’re a co-op member, community leader, or curious about going solar, we’d love to see you there. Visit wcif.org/event/solar-celebration/ to RSVP today!","solar, energy, state, program, power","op, lakes prairies, prairies solar, solar op, prairies, solar 101, lakes, solarunitedneighbors, solar united, united neighbors","**""Solar energy advocacy""**",Solar energy advocacy,Yes,Yes,Yes,Yes,FALSE,FALSE,FALSE,TRUE
1106011057911177,"Fracking for gas poses major threats to our water, health, and safety.","health, care, community, child, family","fracking, arlington, nogaswells, com nogaswells, join arlington, nogaswells join, arlington city, petition tinyurl, community petition, sign community","**""Anti-fracking activism""**",Anti-fracking activism,No,No,No,No,FALSE,FALSE,TRUE,FALSE
851343006957074,"Tre Rook is a progressive running for State House in LD8, the most progressive district in Arizona.

Democrats from all across the district are giving one of their votes for State House to Tre Rook - the most progressive candidate in the race.

His bold stances on environmental justice, economic equity, and social reform resonate with voters who are ready for real change. Progressives, join them and make your voice heard this November!","vote, election, district, candidate, voting",,"**""Climate voter mobilization""**",Pro-climate candidate,Yes,Yes,No,Yes,TRUE,FALSE,TRUE,TRUE
530339723045636,"Join us on the evening of October 26th, ADC will celebrate Alex Odeh’s life and contributions at the Saturday evening banquet dedicated to his memory. This special program will recognize community members who embody the values Alex championed, including courage, compassion, and a commitment to civil rights. We will spotlight the vital work being carried out by individuals in our community. This event not only pays tribute to his memory but also inspires future generations to carry on the fight for social justice.,Dr. Jill Stein is a Harvard-educated physician and environmental health advocate, known for her work in promoting people-centered policies for the planet and peace. She has led efforts to combat environmental racism and pollution, advocate for healthy communities, and advance democratic reforms. Stein played a key role in securing victories in campaign finance reform, racially just redistricting, and environmental clean-ups. Her push for the Global Climate Convergence emphasized the need for policies that prioritize people and the planet over profit. Stein's disillusionment with mainstream politics, particularly after the repeal of the Clean Election Law in Massachusetts, solidified her alignment with the Green Party. Born in Chicago and raised in Highland Park, Illinois, she graduated magna cum laude from Harvard College and Harvard Medical School.,UCLA Law Review, Northwestern Law Review, the California Law Review and the Harvard Civil Rights and Civil Liberties Law Review, and the Harvard Law Review,Jeanine Erikat is a Program Manager at Women’s Foundation California (WFC), where she oversees the Dr. Beatriz Maria Solís Policy Institute (SPI),an experiential policy advocacy training program advancing racial, economic, and gender justice throughout the state of California.  Jeanine is an advisory board member with the Majdal: Arab Community Center in El Cajon and  community organizer with the Palestinian Youth Movement. Jeanine holds a B.S. in Public Health Sciences and B.A. in History from UC Irvine, and is currently pursuing a Masters of Public Policy (MPP)  at the University of  Southern California.  Jeanine hopes to work on policy issues that will foster an equitable California for all.,Steve Sosebee is a passionate humanitarian and founder of two impactful nonprofits: HEAL Palestine and The Palestine Children’s Relief Fund (PCRF). For over 30 years, he has provided life-saving medical care to tens of thousands of children in the Middle East, especially in Palestine. Under his leadership, PCRF built pediatric cancer departments, emergency facilities, and developed programs for amputees and mental health care. He has led the treatment of over 2,000 children abroad and deployed thousands of volunteer medical professionals. Steve’s dedication to human rights is deeply rooted in his background in international relations and journalism.","member, organization, leadership, leader, foundation","vote climate, make plan, plan vote, candidates ballot, registration status, green party, paid partnership, nye, climate candidates, vote","**""Local civic engagement""**",Women-led climate action,Yes,No,Yes,No,TRUE,TRUE,TRUE,TRUE
1872801219885997,"I'm incredibly proud of all the impactful things my DFL colleagues and I have accomplished over the last two years. We worked together to improve the economy and grow the middle class and I'm so grateful to have been a part of it. 

Thank you all for your input and support throughout the biennium! 

Be sure to sign up for my legislative updates here: https://public.govdelivery.com/accounts/MNHOUSEDFL/subscriber/new?topic_id=MNHOUSEDFL_35","city, resident, council, housing, community","party, kodel, democratic, young, progressive, laible, leaders deserve, kodel party, steve william, william laible","**""Local civic engagement""**",Pro-clean energy,No,Yes,No,No,FALSE,FALSE,TRUE,FALSE
1801345977088460,"As we build out energy networks, making biofuels part of an ""all-of-the-above"" mix is a step toward green goals.","future, sustainable, together, let, build",,"**""Ethanol advocacy""**",Ethanol advocacy,Yes,Yes,No,No,FALSE,FALSE,TRUE,FALSE
1485062835955337,The Great Salt Lake is shrinking—and now polluted. Sign to demand urgent action on Kennecott’s tailings pond.,"southeast, great, west, lake, river","water, river, rivers, drains, storm, stormwater, wastewater, clean water, storm drains, lake","**""Clean water advocacy""**",Clean water advocacy,No,No,Yes,Yes,FALSE,FALSE,FALSE,FALSE
1001964551994104,"Happy Valentine’s Day from the Uplands Wind team! What do you love about sustainable energy? Let us know in the comments below ⬇️ ❤️

#PatternEnergy #UplandsWind #WindEnergy #SustainableEnergy #HappyValentinesDay","u, join, help, chance, hundred","sun day, happy, patrick day, st patrick, sun, independence day, fourth july, celebrating, 4th july, drone","**""Pro-wind energy""**",Pro-wind energy,No,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE
3624397467866463,"NJNG is proud to support environmental stewardship and protect the ecosystems that sustain the communities we serve. We joined Save Coastal Wildlife to monitor horseshoe crab spawning along the shores of Atlantic Highlands, N.J.

By collecting data on these marine species, we’re contributing to long-term conservation research and helping protect our coastal environment.","protect, conservation, environment, tree, nature",,"**""Ocean conservation call""**",Ocean conservation call,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,FALSE
9357440670973650,"A complex interplay of genetic, behavioral, social, and other factors drives obesity, but climate change’s role remains largely overlooked.","market, report, financial, potential, key",,"**""Climate crisis advocacy""**",Sustainable farming progress,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
327804276665529,"💔 𝗧𝗵𝗶𝘀 𝗶𝘀 𝗵𝗲𝗮𝗿𝘁𝗯𝗿𝗲𝗮𝗸𝗶𝗻𝗴: Unless we reverse the most catastrophic impacts of climate change, we may soon lose iconic species like elephants, polar bears and green sea turtles. 

Rising ocean temperatures, deforestation and droughts threaten the habitats of our most treasured wildlife. 

Are you worried about the extinction of your favorite animals?  Before our survey closes at 11:59 p.m. tonight, we want to hear from you: Are you concerned about the impacts of climate change?","climate, change, action, crisis, weather","extinction, species, wildlife, petaluma, habitat, endangered, poaching, endangered species, animals, conservation","**""Pro-forest climate action""**",Pro-forest climate action,Yes,Yes,No,No,TRUE,TRUE,TRUE,TRUE
523346960502829,"The natural gas and oil industry supported 423,000 Pennsylvania jobs and $75 billion in economic impact in 2021 in the Keystone State.","gas, oil, natural, big, industry",,"**""Oil industry promotion""**",Pro-infrastructure investment,Yes,Yes,Yes,No,TRUE,TRUE,TRUE,FALSE
1404971060916489,EVs are driving increased car sales yet again and Michigan is at the forefront of manufacturing the future! Electrification is the next generation of transportation and we are making it in the Mitten!,"energy, electric, ev, arizona, vehicle","ev, evs, electric, ev tax, link email, millions visit, charging, driving electric, annual tax, experience benefits","**""Clean energy advocacy""**",Solar energy advocacy,Yes,No,No,No,TRUE,FALSE,TRUE,TRUE
1139464671426582,"""Virginia stands out as a leader in renewable energy due to our rich natural resources and supportive policy environment. Our state has made significant strides in harnessing offshore wind and solar energy.

Tell us what factors you care about the most: Abundant natural resources, strong policy framework, legislative support initiatives, incentives for clean energy or economic opportunities in renewable energy.""","energy, clean, power, support, job",,"**""Clean energy advocacy""**",Pro-wind energy,Yes,Yes,Yes,No,FALSE,FALSE,FALSE,FALSE
1585965928720520,Are you feeling the pain from high electricity bills? That could get worse if lawmakers pass SB 10 & HB 220 which could close clean and local energy producers and send our money to out-of-state energy companies. Tell your lawmakers to vote NO on SB10/HB220:,"tax, energy, bill, credit, cost",,"**""Pro-infrastructure investment""**",Pro-clean energy jobs,Yes,Yes,No,Yes,FALSE,FALSE,FALSE,FALSE
700567129228250,Air pollution is the fourth leading cause of death worldwide. It’s a global crisis — but one we can solve. See how EDF is working to help reduce air pollution worldwide:,"climate, change, action, crisis, weather","air, air quality, air pollution, breathe, lungs, smog, clean air, lung, quality, breathing","**""Clean air advocacy""**",Anti-fracking activism,No,Yes,Yes,No,FALSE,FALSE,FALSE,FALSE
970597601493085,"I am Aaron T. Murphy and I have answered the call by God to lead in serving the city I love. I have answered the call to be a Voice for the People and to keep building on our success while completing unfinished goals and addressing new challenges. I am committed to continuing to use my experience in government, business, non-profit and community service for the overall advancement of Johnson City. Advancement that leads to smart and sustainable growth that our city is able to manage while providing a quality of life for its residents. I am committed to working hard in ensuring that we have adequate services and infrastructure while serving those who are here and finalizing and implementing a strategic growth plan in preparation for what is to come.","city, resident, council, housing, community","city council, council, city, mayor, ward, alderman, berwyn, public safety, mclean, mclean county","**""Pro-infrastructure investment""**",Pro-infrastructure investment,No,Yes,Yes,Yes,FALSE,FALSE,TRUE,TRUE
1865221080625648,"Nir Bar Dea discusses the firm’s commitment to Global Citizen’s mission to combat extreme poverty and climate change, and promote equality.","climate, change, action, crisis, weather",,"**""Climate crisis advocacy""**",Pro-infrastructure investment,Yes,Yes,Yes,No,FALSE,FALSE,TRUE,TRUE
4008295509426449,"🔴🔴🔴URGENT!!🔴🔴🔴 My friend Jehad is ILL. He will need treatment ASAP. Please, contribute to his RECOVERY🙏🤍 

🔗Link in his or my Bio

Medicines# viralreels #freepalestine🇵🇸 #helpme #foryou","tell, say, ballot, add, name",,"**""Save the pollinators""**",Agriculture policy updates,No,No,No,No,TRUE,FALSE,TRUE,TRUE
961482839143523,"For nearly five decades, the oil & gas industry has been the backbone of Alaska's economy. Its impact includes:

👤 Helping create 69,250 additional jobs, statewide
💵 Our state and local governments collecting nearly $4.4 in oil & gas revenues
🪙 Over $1 billion added being added to the Permanent Fund

Learn more about the impacts the oil & gas industry has on Alaska in this video.","gas, oil, natural, big, industry",,"**""Oil industry promotion""**",Oil industry promotion,Yes,No,Yes,Yes,FALSE,TRUE,TRUE,TRUE
1993723658045996,"The issue with the AI productivity argument is that we're not all meant to be productive at the levels capitalism demands of us. And those who are, well… we're only meant to be productive around what we're excited about.

The reality is, only about 70% of the population is designed to have sustainable, consistent energy for regular work, which means that roughly 2.5 billion people aren't.

That's a lot of people.

Since capitalism rewards productivity and wrongly attributes less of it to personal or moral failings, many will interpret that data through their conditioning.

They'll...

😔 Assume the 70% is ""better"" and that something is wrong with them if they're not wired for consistent productivity.

😇 Dismiss me because they're good at being productive and therefore buy into the lie that they're somehow ""better.""

All I'm saying is that the goal of being more productive is flawed in more ways than one. If you buy into the idea that you should use AI because it will make you more productive (and you feel that urgency to ""keep pace"" with other people), not only will you burn yourself out, but you'll further buy into a system that's intentionally designed to exploit your labor and FOMO so they (the people who created the systems) can make more money.

Even if you're part of the 70%, you'll likely still burn out, as many already have, because producing just to remain the loudest person in a deafening space means you're not likely following your intuitive 'yes'. You're just playing the game.

If you're going to focus on being ""more productive,"" why not focus those efforts on something that will gain more reach, visibility, and momentum ✨ the longer it's live ✨ (unlike social media content that vanishes into the noise within seconds to minutes to maaaybe hours)?

That's exactly what we're covering in our upcoming workshop: Creating a Content Ecosystem That Thrives Beyond the AI Bubble.

Learn more and grab your ticket:
https://channelsforchange.tv/ecosystem/","one, people, thing, get, u","ai, stocks, stock, artificial intelligence, artificial, intelligence, market, nvidia, investors, stock market","**""Climate education advocacy""**",Clean energy advocacy,No,No,No,No,TRUE,FALSE,TRUE,FALSE
